id_transaccion,customer_id,monto,fecha,region,id_tienda,edad,preferencias,geolocalizacion,ingresos,puntos_lealtad,gastos_mensuales,segmento_cliente
10000,1927,0.46766345092935746,2025-04-01,mexico,13,63,Tecnologia,Vieja Kiribati,0.5048403249137643,0.9424792063332998,0.38713315969729906,Regular
9999,1064,0.6759050070929438,2026-02-01,mexico,45,59,Deportes,Nueva Singapur,0.7020696561700234,0.14039482914119653,0.6992678575090748,Regular
9998,1147,0.19618759320855678,2025-01-30,centro,16,52,Hogar,San Jos los bajos,0.7875152998776009,0.9207335404349133,0.8231373433686757,Regular
9997,507,0.9364544980580288,2024-08-17,mexico,17,38,Deportes,Vieja Noruega,0.024012462445754973,0.7750275578715302,0.34587067533479626,Regular
9996,1551,0.05351232070614196,2024-07-19,mexico,43,62,Deportes,San Jonás de la Montaña,0.8362078557916991,0.9984968433710792,0.10498144008531408,Regular
9995,49,0.039184978317012155,2025-01-27,centro,22,39,Tecnologia,San Fernando de la Montaña,0.3688883943473906,0.5190900891872933,0.2279075490658518,Regular
9994,1548,0.4537907844270478,2024-10-22,mexico,43,36,Moda,San Rocío los altos,0.29569377990430623,0.16113839062030264,0.3650868521974529,Regular
9993,1543,0.9654688819823061,2025-09-23,centro,16,23,Hogar,Vieja Zambia,0.28686992322243243,0.4750977051808798,0.25171756116568567,Premium Joven
9992,583,0.3888125482461635,2026-03-01,centro,23,56,Tecnologia,San Linda los altos,0.7645933014354067,0.8805491532217656,0.7278152621972477,Regular
9991,575,0.6663871251955106,2024-06-23,norte,33,24,Deportes,San Amador de la Montaña,0.8674752420162457,0.16634933360056117,0.7032054305695125,Premium Joven
9990,1950,0.33505167138855996,2026-04-29,mexico,40,63,Tecnologia,San Arturo los bajos,0.47010125737175923,0.8220262551357851,0.730419802711183,Regular
9989,666,0.21490003192835117,2026-04-14,sur,42,22,Hogar,Nueva Rwanda,0.10577500834538778,0.49233390119250425,0.8236295400012305,Premium Joven
9988,1760,0.22993666870092025,2024-09-23,mexico,1,69,Hogar,Nueva Georgia,0.8938577945921886,0.9698366569796573,0.6964377268718852,Regular
9987,147,0.5186962724660407,2025-12-15,mexico,13,66,Hogar,Vieja Malta,0.3151774785801713,0.4572602465176871,0.5999671868911629,Regular
9986,1976,0.2071907496696022,2025-09-27,norte,15,38,Hogar,Nueva Bangladesh,0.08148436630688774,0.7658081972141497,0.8641742376079243,Regular
9985,878,0.8342534626094759,2025-08-11,mexico,12,38,Tecnologia,Vieja Sierra Leona,0.2979748525648158,0.5829241406954604,0.1691310678616107,Regular
9984,922,0.3773203626090717,2025-01-09,mexico,45,33,Deportes,Vieja Líbano,0.590174696784244,0.5527607976751178,0.9486679928631487,Regular
9983,1050,0.792932518015269,2026-01-13,norte,20,47,Hogar,San Patricio de la Montaña,0.10647602091910538,0.649764505461469,0.8604417464777178,Regular
9982,583,0.6476948942929083,2025-07-03,centro,47,56,Tecnologia,San Linda los altos,0.7645933014354067,0.8805491532217656,0.7278152621972477,Regular
9981,1488,0.24481366371767255,2026-04-18,centro,24,28,Hogar,Nueva Bélgica,0.36387003449426947,0.14400240505060627,0.599803121346978,Premium Joven
9980,743,0.2825578246688949,2024-12-16,sur,30,60,Tecnologia,San Marco Antonio los bajos,0.0,0.8940775628820523,0.9747544143885482,Regular
9979,952,0.061555031948558984,2024-07-28,norte,3,33,Deportes,San Sessa los bajos,0.8837543117836876,0.040585228980859804,0.5471175734706014,Regular
9978,1415,0.6937060732573789,2024-07-12,centro,46,60,Hogar,Nueva Omán,0.5705352175364415,0.07004709890770619,0.48054797891757756,Regular
9977,1301,0.17787729005088326,2025-11-21,norte,12,35,Deportes,Nueva Bahamas,0.945365527984867,0.15733039382703679,0.895223641844917,Regular
9976,1134,0.024691931826907924,2026-02-15,norte,47,20,Tecnologia,Nueva Guinea,0.07874707911427617,0.0631325784146708,0.08558068948544943,Regular
9975,880,0.52210937278977,2024-06-17,mexico,11,23,Hogar,San Flavio los bajos,0.4332702792923111,0.27227177071850883,0.351469412030106,Premium Joven
9974,1216,0.5902076959450994,2025-03-20,norte,20,38,Hogar,San Laura de la Montaña,0.9837988205185269,0.3691752680629321,0.4551793441479871,Regular
9973,377,0.0038293813578844822,2024-11-07,mexico,5,57,Tecnologia,San Victoria de la Montaña,0.9495159675086235,0.2689648261348832,0.599249400135354,Regular
9972,1948,0.5540599525520452,2025-08-04,norte,42,45,Moda,San Liliana los bajos,0.1194058083898965,0.6255135785148812,0.2029285699637005,Regular
9971,430,0.2703725109021174,2025-10-14,norte,40,31,Deportes,San Benjamín los altos,0.6424724602203182,0.19561078264355145,0.8157543938803551,Regular
9970,447,0.845848708114247,2024-09-15,norte,3,48,Deportes,San Araceli los bajos,0.7684099254478691,0.25222968233289905,0.9720473329094973,Regular
9969,1174,0.004092082981380519,2024-07-23,mexico,50,40,Moda,Nueva Antigua y Barbuda,0.24001335262045173,0.928349534021445,0.9101741145587662,Regular
9968,1173,0.4610817648699223,2025-11-20,norte,9,57,Moda,San Mercedes los altos,0.08271948369867588,0.2738751377893576,0.8763561042636533,Regular
9967,1907,0.26061011441666093,2025-09-19,mexico,26,42,Moda,Nueva Vietman,0.2318126182263269,0.025152820923940274,0.5926252537888886,Regular
9966,1242,0.11194524489853654,2025-02-02,sur,6,26,Tecnologia,Vieja Côte d'Ivoire,0.8234227217091354,0.43160637338410657,0.7041282992555525,Regular
9965,1209,0.3445210545247323,2025-04-07,norte,31,64,Tecnologia,Vieja Egipto,0.9168465561366419,0.42679627217156024,0.9157728512540759,Regular
9964,1554,0.18479038431226735,2025-02-12,mexico,1,41,Deportes,Vieja Somalia,0.21337487481918324,0.4738951798777432,0.6135436106724635,Regular
9963,1409,0.9939154262434878,2025-03-29,sur,35,40,Deportes,Vieja República Unida de Tanzanía,0.2764326249026371,0.8810502054314059,0.7447550296343388,Regular
9962,784,0.7282250665847576,2025-07-18,centro,34,52,Deportes,San Héctor los bajos,0.39307889173250254,0.627217156027658,0.2657451651934948,Regular
9961,1704,0.9363231472462806,2024-12-24,mexico,50,46,Deportes,San Mateo los altos,0.6274062534772449,0.3111534221865918,0.15483685732450114,Regular
9960,633,0.7486450658572762,2024-08-05,mexico,35,64,Hogar,Vieja Ucrania,0.2672749527094692,0.7864515482513278,0.02389204487192633,Regular
9959,1866,0.8430155721439281,2024-06-20,sur,2,61,Hogar,San Gerardo los altos,0.954289529320129,0.8429702374987473,0.6200241996677672,Regular
9958,1341,0.2715445642992535,2025-04-08,mexico,28,66,Hogar,Vieja Eslovenia,0.9557805719372428,0.6102815913418178,0.497180123459322,Regular
9957,414,0.35896964381701413,2025-05-19,centro,24,43,Deportes,Nueva Mauricio,0.8823077779014131,0.9494939372682634,0.05436721970427186,Regular
9956,1744,0.6729041462399314,2025-09-13,sur,42,58,Moda,San Diego los bajos,0.8500278179592745,0.7824431305742058,0.8886610200775209,Regular
9955,895,0.9485832299366687,2024-08-23,mexico,42,31,Deportes,Nueva Chile,0.017447424056971195,0.19460867822427097,0.5472406226287401,Regular
9954,1569,0.7936741449062155,2024-12-02,norte,8,68,Moda,Nueva Afganistán,0.0028263046622899746,0.43741857901593345,0.5680564385471996,Regular
9953,1616,0.3832493361732052,2025-12-03,sur,44,50,Moda,San Dulce de la Montaña,0.20787804606654056,0.14450345726024652,0.46245975267119216,Regular
9952,309,0.6148107133763625,2026-05-31,centro,34,66,Moda,Vieja Turquía,0.7787915878491154,0.2744764004409259,0.2452369721703821,Regular
9951,1262,0.3806041329027721,2025-12-10,mexico,3,39,Moda,Vieja Tuvalu,0.9322910871258485,0.77452650566189,0.7150796743298947,Regular
9950,1929,0.09291958501226613,2026-02-05,centro,15,65,Hogar,Nueva Somalia,0.3828863914543229,0.45836256137889564,0.508295564077849,Regular
9949,1054,0.1734335910503619,2025-02-02,mexico,46,33,Tecnologia,San Isabel de la Montaña,0.08758206297985979,0.7871530213448241,0.8684399417567318,Regular
9948,167,0.02242259395624603,2025-03-07,mexico,39,33,Deportes,Nueva Italia,0.6789584956047624,0.016935564685840267,0.3533356575952093,Regular
9947,1524,0.5863136495722004,2026-05-19,sur,41,25,Tecnologia,Vieja Dominicana,0.9514854790252587,0.713197715201924,0.38241627530198313,Premium Joven
9946,1333,0.722518379009736,2025-03-16,sur,18,34,Moda,San Sara de la Montaña,0.7330254812506954,0.0776630924942379,0.8648099915916407,Regular
9945,255,0.32161751451931664,2026-03-16,centro,34,44,Tecnologia,Vieja Haití,0.12683876710804495,0.6831345826235093,0.39648489571583845,Regular
9944,685,0.07649871276204487,2025-12-27,centro,49,43,Moda,Nueva San Marino,0.15769444753532882,0.8203226776230083,0.8001066426037201,Regular
9943,67,0.315213657251171,2025-04-12,centro,48,63,Hogar,San Estela los bajos,0.2603760988093914,0.08948792464174767,0.995447181148869,Regular
9942,893,0.24667480368105593,2025-08-15,sur,19,68,Moda,Nueva Botswana,0.35073995771670186,0.46036677021745664,0.4179774820040606,Regular
9941,1318,0.7377934680251709,2025-01-05,centro,48,56,Hogar,San María del Carmen de la Montaña,0.6315010570824524,0.6097805391321776,0.5048501876499661,Regular
9940,109,0.9146138892369124,2024-11-22,mexico,31,25,Deportes,Nueva Liechtenstein,0.3131968398798264,0.025553662691652473,0.009126145895285168,Premium Joven
9939,1110,0.2208977120709375,2025-10-06,mexico,23,48,Tecnologia,San Eva de la Montaña,0.8333926783131189,0.8788455757089888,0.49877976251512474,Regular
9938,704,0.6578028444523479,2024-08-06,mexico,41,62,Hogar,Vieja Argentina,0.12916434850339378,0.06283194708888666,0.8874920530752035,Regular
9937,2,0.7308702698551908,2024-09-22,mexico,20,24,Tecnologia,Nueva Papua Nueva Guinea,0.06891064871481029,0.9786551758693256,0.8424355530034248,Premium Joven
9936,713,0.18220782527512944,2025-07-01,mexico,35,35,Deportes,San Samuel los bajos,0.3671525536886614,0.22497244212846979,0.16023051208957978,Regular
9935,684,0.243546633579734,2025-05-18,mexico,50,34,Tecnologia,Vieja China,0.16078780460665407,0.9934863212746767,0.34451713459527084,Regular
9934,1193,0.04765609528389962,2024-09-09,mexico,8,46,Moda,Nueva Albania,0.307177033492823,0.11484116644954405,0.7531428805807919,Regular
9933,126,0.8276596518597255,2026-05-16,mexico,18,44,Hogar,Vieja República Dominicana,0.4962278847223768,0.4066539733440224,0.5543774738007834,Regular
9932,1760,0.45474055183507184,2025-07-28,norte,28,69,Hogar,Nueva Georgia,0.8938577945921886,0.9698366569796573,0.6964377268718852,Regular
