producto,categoria,stock,precio
Tablet,,9.0,393.2
Monitor,Electrónica,276.0,4475.33
Monitor,Accesorios,,14791.51
Laptop,Electrónica,491.0,14805.26
Teclado,Electrónica,100.0,12429.36
Monitor,Electrónica,169.0,7412.23
Teclado,Electrónica,252.0,8328.84
Mouse,Electrónica,472.0,18600.55
Teclado,Electrónica,207.0,5698.53
Laptop,Electrónica,103.0,3491.79
,Electrónica,190.0,17147.49
Mouse,Accesorios,249.0,9788.39
Mouse,Electrónica,128.0,2233.35
Mouse,Electrónica,21.0,13106.66
Monitor,Accesorios,386.0,3513.33
Teclado,Electrónica,172.0,
,,54.0,15824.23
Monitor,Electrónica,,8255.15
Teclado,Electrónica,140.0,17647.63
Tablet,,473.0,17865.95
Monitor,Accesorios,144.0,
Mouse,Electrónica,110.0,5358.17
Laptop,Accesorios,296.0,11113.82
Monitor,,175.0,8299.62
Teclado,Accesorios,475.0,1421.31
Tablet,Electrónica,298.0,17624.06
,Accesorios,199.0,6898.1
,Electrónica,476.0,19055.18
Mouse,,308.0,9863.36
Monitor,Accesorios,365.0,19575.25
,Electrónica,183.0,8607.01
Monitor,Electrónica,20.0,13180.42
,Accesorios,165.0,2310.5
Tablet,Accesorios,,16730.0
Mouse,Accesorios,195.0,2383.78
,Electrónica,255.0,12233.56
Monitor,Accesorios,488.0,15459.21
Monitor,Electrónica,272.0,3008.23
Mouse,,,16161.02
Laptop,Accesorios,35.0,19758.39
Teclado,Electrónica,,15143.15
Tablet,Electrónica,426.0,1845.76
Laptop,Electrónica,266.0,4248.65
Laptop,Accesorios,499.0,12490.0
Monitor,Accesorios,,7121.39
Monitor,Electrónica,183.0,3960.76
Laptop,Electrónica,287.0,15493.36
Monitor,Electrónica,26.0,14418.6
Teclado,Accesorios,,14354.01
Teclado,Electrónica,88.0,18154.34
Teclado,Electrónica,,12657.99
Tablet,Accesorios,474.0,8072.12
Mouse,Accesorios,281.0,
Teclado,Electrónica,317.0,3894.83
Monitor,Electrónica,349.0,4688.39
,Electrónica,494.0,17120.13
Teclado,Electrónica,227.0,
Tablet,Accesorios,95.0,1201.97
Laptop,Accesorios,153.0,9582.31
Tablet,Electrónica,265.0,
Mouse,Accesorios,424.0,19594.5
,Accesorios,49.0,16351.77
Tablet,Accesorios,207.0,8985.08
,Electrónica,210.0,18814.78
Mouse,Electrónica,328.0,2987.73
Mouse,Electrónica,187.0,3106.15
Mouse,Accesorios,494.0,
Monitor,Accesorios,22.0,
Teclado,Electrónica,42.0,15844.65
Tablet,Accesorios,368.0,14684.92
,Electrónica,367.0,14323.45
Tablet,Electrónica,165.0,16032.45
Tablet,Electrónica,3.0,2406.67
Teclado,Accesorios,362.0,
